input_id	dealiased_id	standard_id	short_id
doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	doi:10.1371/journal.pcbi.1003285	Pf3steOn
url:https://www.w3.org/TR/2013/REC-prov-dm-20130430	url:https://www.w3.org/TR/2013/REC-prov-dm-20130430	url:https://www.w3.org/TR/2013/REC-prov-dm-20130430	PiqpJZYg
doi:10.1038/s41596-021-00645-8	doi:10.1038/s41596-021-00645-8	doi:10.1038/s41596-021-00645-8	355m1Jnc
doi:10.1186/s13321-017-0221-3	doi:10.1186/s13321-017-0221-3	doi:10.1186/s13321-017-0221-3	wwHxTOtm
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
doi:10.1145/302979.303030	doi:10.1145/302979.303030	doi:10.1145/302979.303030	18eyKNXxF
arxiv:2507.14034	arxiv:2507.14034	arxiv:2507.14034	7gNLIteu
arxiv:2606.17099	arxiv:2606.17099	arxiv:2606.17099	MQRRGhkA
doi:10.1145/356810.356816	doi:10.1145/356810.356816	doi:10.1145/356810.356816	cCSFSF6W
arxiv:2308.08155	arxiv:2308.08155	arxiv:2308.08155	N1YkY2gr
arxiv:2308.00352	arxiv:2308.00352	arxiv:2308.00352	riItUX06
arxiv:2307.07924	arxiv:2307.07924	arxiv:2307.07924	QgN2Vxoo
doi:10.1038/s41586-025-09442-9	doi:10.1038/s41586-025-09442-9	doi:10.1038/s41586-025-09442-9	qI2vg4Tw
arxiv:2505.13400	arxiv:2505.13400	arxiv:2505.13400	18cRZGMrH
doi:10.1038/s43588-025-00906-6	doi:10.1038/s43588-025-00906-6	doi:10.1038/s43588-025-00906-6	bz55FRnn
arxiv:2607.13220	arxiv:2607.13220	arxiv:2607.13220	qnj0v346
arxiv:2602.19810v3	arxiv:2602.19810v3	arxiv:2602.19810v3	16wBHXou
